gid,id,routecir,route_no,route_id,length,geom,source,target,array_route_id
5,1,"Green, Yellow","3,4","G , Y",413.2950207,0102000020E61000001D000000E93290C2D03D5340081C8645FB122140981F2712CE3D5340DC0A7C4FFE1221409B00CCCDCC3D53405E74B3D10113214004A37757CB3D5340F1D2A8180313214052202F13CA3D5340E1DDEA5305132140E8A94DDBC83D53407922B8B7051321403B69AC7BC73D53405A03DC7102132140E9CC2C45C63D5340D7A0DD69FD122140E62C2D1AC53D5340CDDBE059F31221404664AD6DC43D534036F9E3A5E9122140A69B2DC1C33D53405B65E9C1D81221401CAEAD87C33D53402EE5EDBDCA1221401ADE2DF2C23D5340A6E4FC059C12214054FFAD8AC23D5340BD4607AE7B122140CA112E51C23D534084C60E52641221402B49AEA4C13D5340FF94151E4F122140C5A1AE90C03D5340DECF1BB63B122140C201AF65BF3D5340BD0A224E281221408370AF0CBE3D53405E94270E17122140F6E22FA8BC3D53409F762DBA04122140F172B0E7BA3D53408CEC339AF0112140B01131F9B83D5340F97F3A1EDC112140FA9D3144B73D53402E274082CA112140B93CB255B53D53401C9D4662B6112140B69CB22AB43D5340D0A64ACEA9112140203794A8B33D5340818822CCA21121404EBAB762B33D5340CAC62DCF9C11214086F2C644B33D53401EAB20029711214063B7CF2AB33D5340BACA243493112140,9,10,"{G , Y}"
17,2,Green,3,G,226.9118523,0102000020E6100000130000004C7ACECC023D53401FBE24DFB6042140D67C1A8F023D5340BF64A714A9042140CBC72E67023D53407280431C9A0421407D254835023D5340DAEC9AA28D042140439CAD6D013D53408C79F53B7B042140D9F020D4003D5340FA72F656710421401C0ABC50003D5340D9BB0D116B042140679A55AFFF3C53408C7CB18D6904214012331D3CFE3C5340C7BC920C6904214087A9E83DFD3C5340D50C4BEC680421403B7483B6FB3C534099CC696D690421409F86A8E0FA3C5340C86B55316B04214027611ABAF93C5340449BDA536C042140EC85640EF83C5340CE1A18566D042140BDE6784AF63C5340474A9D786E042140C3C4BDE8F13C53403CA9A7BD70042140532C3785EE3C5340E57718A473042140F1934F8BEA3C53401DD87E3E76042140D5A799A4E83C534028BA06C776042140,23,24,{G}
26,4,"Green, Yellow","3,4","G , Y",13.29206643,0102000020E61000000200000092110654EE3D5340A5948DBDCD112140E38A2074EC3D5340DCBA40B6C8112140,33,17,"{G , Y}"
35,5,Yellow,4,Y,230.5562354,0102000020E61000000B000000775E4C8E163C53407851AA33AD0F214017FBE631183C534015C82089BE0F21408F4A7D4F193C53401E6BB939D00F2140F763C6901A3C5340B81A5986DF0F21406C058E511C3C5340B0AE4F15F40F21405DA4BA8C1E3C53409C8F413C0A1021400F1981B3203C53408775696E1F102140E0A27AE4223C53400CBAC9DF3210214070ABA652253C534085505BF446102140BEA303FC293C5340B5623115741021409B04A2CC2B3C5340CFCEB3A382102140,43,44,{Y}
45,2,"Red, Blue, Magenta, Orange","1,2,6,7","R , B , M , O",196.6277147,0102000020E6100000060000005B22BCE2CE3C534081EE810CD3F92040EA4CE23DD33C53403399EC0DCCF92040C705E766DC3C5340C9720CBEBFF920405030F475E13C5340A469A15ABBF92040A6F17FABE73C5340D9519807B9F920403AE97DE3EB3C5340184DFB41B8F92040,58,59,"{R , B , M , O}"
85,1,"Red, Blue, Magenta, Orange","1,2,6,7","R , B , M , O",275.621131,0102000020E610000009000000AC749A18A63C534046D42C8DEEF920409316A602A73C53405ED87880F0F92040FD381B2BA83C53405BD94BFDF0F920402543590BAD3C534033CF0D1DECF920402B95FAB2B53C5340F7BFB0CCE4F92040A062E628BC3C5340CDB49F6FDFF92040F4CF378FC23C53409FA98E12DAF92040395717F7CA3C5340C57F4B29D5F920405B22BCE2CE3C534081EE810CD3F92040,57,58,"{R , B , M , O}"
120,0,Orange,7,O,57.65712919,0102000020E61000000200000029417FA1473C5340B77306EBA4F720404634A37A463C534088A93EA1E8F72040,141,142,{O}
124,0,Orange,7,O,202.5980684,0102000020E610000006000000EB234B41923B5340E399869796032140C280E1E88F3B5340993C4741AA032140DDD3D51D8B3B5340440070ECD9032140E6948098843B534085807C09150421408BFD8E2B823B5340F42479B2400421407560C77F813B5340D2472A9D59042140,148,149,{O}
6,4,"Green, Yellow, Violet","3,4,5","G , Y , V",547.2182583,0102000020E6100000270000006AEA5E82AE3D53404F289F7994112140BAEB1317B03D534054CFCDF79F112140BE73D38CB13D53401A63CB83A7112140FEF8320BB33D5340976AC8C4B01121408D62D2DFB43D5340CBCAC249C211214042FAB124B63D5340CE34BE92D0112140AB4D513EB83D5340D863B6EBE81121404BFE9035B93D5340F603B36EF3112140DA73D0E4BA3D5340BAC1ACED061221407B0CD026BC3D5340813AA8081512214008A6EF65BD3D53402CD8A3B0221221400B46EF90BE3D5340EAB59EAE321221409AC7CE1AC03D53409B3898E546122140119E2E9CC03D53404A369462531221408968EE42C13D534085368E1266122140D84C2E99C13D5340F86787467B1221403C3CEECCC13D534043F27A16A2122140143E2EC7C13D53405E777528B31221402A192E3AC23D5340DCED6CC0CD1221408D08EE6DC23D53401FAE6472E712214017DE2DF2C23D534080DF604EF312214040AC6D8DC33D534061EE5D78FC12214091602D79C43D5340EC905BD603132140461CED4DC53D534071F359DE08132140D2C1AC67C63D534092AE58D20C132140604F2CCCC73D534086B357E00F1321409FE02B25C93D5340FD95573C101321406B17EB97CB3D53405CFD57FA0E132140C30BAAD9CE3D5340753359340B132140675CE9FBD03D5340A6A45AB6061321401EB8A8FBD23D5340B19F5BA8031321408C9FA765D63D5340CDD55CE2FF1221405706E742D83D53407B695D16FE1221405B766603DA3D53400D825EACFA122140D510A63FDB3D5340C21060D2F51221407AD20523DC3D534012AEFCC1EC122140B35BA0EADC3D5340EDBBCA45E5122140EAF33EAADD3D53405C0A95C8DF122140FF313B8BDE3D53407BC4F9E5DD122140,11,12,"{G , Y , V}"
7,3,Green,3,G,655.2355021,0102000020E610000032000000DB34B6D7823C5340F41983F34E0A214015CD6684853C534067775025570A214068853FAD873C5340300A48DD5D0A2140FA053184893C53406E4ED4A9620A214025413AE08B3C5340FC18B3B3690A2140D825388E8D3C5340069526D26E0A21403614E7038F3C5340AC263BDC710A2140D3CC56D88F3C5340BB375E0F730A21400A5DF188903C53405D0B398A730A214041ED8B39913C5340683DBF75730A21400621232A923C53407B90A819720A2140FCE8A42C933C534029D8CFF06F0A214049A5CDB6943C5340225C5CD26A0A2140D0EFE840973C53406E6F3762610A2140AF4D665A993C5340CE1FE9C85B0A2140AF0FF04A9B3C5340CB61AF39590A21409C9FF34F9D3C5340C8A375AA560A2140A37A40369F3C53406698B3DD550A21401CD14BE49F3C5340C7A375AA560A2140C5BDE954A03C534067775025570A214072877C5CA23C5340DF516FB45B0A21409CE28D4BA43C5340B27DC7A0610A2140A9D9A0FDA43C5340CBE5491A660A21401F32545CA53C5340C171FDBD680A214098885F0AA63C5340588FC56B6E0A214007A9946BA73C534045E1D9607B0A21407DE0E411A93C5340DFA39FA78C0A2140A81BEE6DAB3C5340BC898E02A40A2140C245D496AC3C53406B76B372AD0A2140CD3FDC84AD3C5340ED40927CB40A21409571CBC4AE3C53406BD9EA9ABB0A2140E02F9CFFAF3C534003F7B248C10A214033E87428B23C534004DE7652CA0A214088BD60A8B33C5340D5C357AECF0A21402F4B2551B73C53402F00CBB7DE0A2140BC93982ABA3C5340DACB8C6FE90A214031940CA6BB3C53400FF37E9BE50A2140620AD210BE3C53401D0A1B36F00A2140438D2564BF3C53403FFC4CB2F70A2140AE8C8596C23C5340165DBD89080B2140198CE5C8C53C5340336D72E2160B214028E3E7BBC73C53406D58BD1C220B214042EFD5D6C93C5340716F59B72C0B2140E2D5B905CC3C534050B246B2360B21404933036DCD3C5340EC276C4F3C0B214082BC9D34CE3C5340889D91EC410B2140BC4538FCCE3C5340AB8FC368490B2140D6512617D13C5340C99F78C1570B21408DA2E195D33C53409C00E998680B2140F0E461A1D63C5340BD47252B750B2140,13,14,{G}
