stop_id,stop_no,stop_name,stop_circle,stop_location,remarks,latitude,longitude,accuracy,is_geotagged,updated_user_id,updated_timestamp
231,103 A,Valiyashala - Shivashetram,M,In front of Sri Mahadeva Kshetram,NIL,8.4842667,76.960225,1.8,TRUE,22,51:11.3
9,109 B,Ambalathumukku,O,2,NIL,8.4937817,76.9362267,2.05,TRUE,20,18:52.2
74,111 A,Kannammoola,M,1,NIL,8.5031217,76.9317599,2.2,TRUE,20,31:17.8
41,1:00 AM,East Fort - North Bus Stand,M,,NIL,8.4834225,76.9475029,19.11,TRUE,19,26:01.8
18,100 B,Attakulangara Road,M,Opposite to SKP timbers,NIL,8.4796533,76.9524583,2.03,TRUE,20,24:05.6
93,113 A,Koyikkal Lane,O,1,NIL,8.5084962,76.929779,1.8,TRUE,20,51:21.0
71,112 B,John Cox College,R,near college gate,NIL,8.5066617,76.9310617,1.9,TRUE,20,44:09.2
17,100 A,Attakulangara Road,M,In front of SKP Timbers,NIL,8.4794668,76.9524529,37.97,TRUE,24,26:42.4
27,114 B,Burma Road,O,2,NIL,8.51042,76.9287983,2.24,TRUE,20,57:30.3
77,78 B,Kannetumukku,M,Opposite to SV Automobiles,NIL,8.4906586,76.9612303,6,TRUE,24,23:34.9
56,116 A,Govt Medical College HS School,B,1,NIL,8.5169227,76.9278005,3.42,TRUE,20,06:16.8
14,31 B,Aristo,B,Opposite to Leksmi Narayana Bhavan,NIL,8.4887173,76.9536292,3.25,TRUE,22,57:46.9
66,80 C,Jagathy - Govt High School,Y,Opposite to Govt HS,NIL,8.5005453,76.9677106,27.89,TRUE,24,46:53.3
60,58,Govt. Medical College Bus Stand,V,,NIL,8.5224583,76.93019,1.87,TRUE,20,15:47.2
10,50,Anadiyil Hospital,"G,O",,NIL,8.5101394,76.9427171,2.14,TRUE,20,31:04.6
45,88 A,Elipodu Market,Y,Near to bus shelter,NIL,8.5088725,76.9909576,7.17,TRUE,21,41:25.1
61,44,Gowreesha Hospital,V,,NIL,8.5087358,76.9384326,3.29,TRUE,20,47:30.9
78,97 A,Karamana,M,Near to bus shelter,NIL,8.4817948,76.9673665,4.9,TRUE,21,15:51.9
42,88 B,Elipodu,M,In front of Sree BABA Medicals,NIL,8.509382,76.9947122,17.18,TRUE,24,59:50.6
